issue_month,grade,purpose,total_cnt,bad_rate
2015-12-01,D,small_business,103,27.184466019417474
2015-12-01,D,vacation,40,32.5
2015-12-01,E,credit_card,349,34.67048710601719
2015-12-01,E,debt_consolidation,2122,36.19227144203582
2015-12-01,E,home_improvement,162,27.77777777777778
2015-12-01,E,house,34,38.23529411764706
2015-12-01,E,major_purchase,70,42.857142857142854
2015-12-01,E,medical,34,35.294117647058826
2015-12-01,E,moving,35,42.857142857142854
2015-12-01,E,other,216,35.18518518518518
2015-12-01,E,small_business,92,41.30434782608695
2015-12-01,F,credit_card,80,45.0
2015-12-01,F,debt_consolidation,622,45.98070739549839
2015-12-01,F,home_improvement,48,31.25
2015-12-01,F,other,61,45.90163934426229
2015-12-01,F,small_business,43,37.2093023255814
2015-12-01,G,debt_consolidation,133,49.62406015037594
2016-01-01,A,car,79,3.79746835443038
2016-01-01,A,credit_card,2290,5.545851528384279
2016-01-01,A,debt_consolidation,3000,5.933333333333334
2016-01-01,A,home_improvement,394,3.807106598984772
2016-01-01,A,major_purchase,151,5.298013245033113
2016-01-01,A,medical,47,8.51063829787234
2016-01-01,A,other,211,3.7914691943127963
2016-01-01,B,car,100,10.0
2016-01-01,B,credit_card,3055,11.423895253682488
2016-01-01,B,debt_consolidation,5500,10.418181818181818
2016-01-01,B,home_improvement,595,10.084033613445378
2016-01-01,B,major_purchase,191,9.947643979057592
2016-01-01,B,medical,110,9.090909090909092
2016-01-01,B,moving,54,16.666666666666664
2016-01-01,B,other,456,11.18421052631579
2016-01-01,B,small_business,55,12.727272727272727
2016-01-01,B,vacation,42,9.523809523809524
2016-01-01,C,car,77,11.688311688311687
2016-01-01,C,credit_card,1877,20.458177943526902
2016-01-01,C,debt_consolidation,5216,19.075920245398773
2016-01-01,C,home_improvement,474,17.72151898734177
2016-01-01,C,house,32,21.875
2016-01-01,C,major_purchase,145,19.310344827586206
2016-01-01,C,medical,118,18.64406779661017
